sample_id,domain_length,domain,request_frequency,query_type,label,difficulty,entropy
136812,7,dkry5cjqx4.data-exfil.com,8,A,tunneling,easy,0.6425
4768,27,youtube.com,0,A,normal,easy,0.4878
60167,44,wikipedia.org,0,A,normal,easy,0.511
3196,31,amazon.in,40,TXT,normal,easy,0.4355
195331,36,google.com,1,MX,normal,easy,0.371
164443,23,google.com,8,A,normal,easy,0.371
173916,51,microsoft.com,0,MX,normal,easy,0.5702
70913,8,amazon.in,666666,A,suspicious,medium,0.4355
48026,34,dkry5cjqx4bipw3ahov29gnu18fmt07els.data-exfil.com,7,A,tunneling,easy,0.984
224312,34,amazon.in,20,TXT,normal,easy,0.4355
202135,62,facebook.com,0,A,normal,easy,0.5319
59442,60,amazon.in,114,MX,suspicious,medium,0.4355
10642,5,microsoft.com,83,TXT,suspicious,medium,0.5702
143183,33,dkry5cjqx4bipw3ahov29gnu18fmt07el.data-exfil.com,0,TXT,suspicious,medium,0.9757
7628,29,youtube.com,99,MX,suspicious,medium,0.4878
44751,41,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5.data-exfil.com,0,A,tunneling,easy,0.9891
32866,6,youtube.com,6,A,normal,easy,0.4878
99802,35,dkry5cjqx4bipw3ahov29gnu18fmt07elsz.data-exfil.com,1,TXT,tunneling,easy,0.9921
3383,8,youtube.com,666666,A,suspicious,medium,0.4878
100324,35,dkry5cjqx4bipw3ahov29gnu18fmt07elsz.data-exfil.com,5,MX,tunneling,hard,0.9921
128319,50,amazon.in,25,A,normal,easy,0.4355
64673,27,dkry5cjqx4bipw3ahov29gnu18f.data-exfil.com,4,A,tunneling,easy,0.9197
33561,31,dkry5cjqx4bipw3ahov29gnu18fmt07.data-exfil.com,8,TXT,tunneling,easy,0.9583
122318,54,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3aho.data-exfil.com,0,A,tunneling,easy,0.9842
220825,56,facebook.com,0,TXT,normal,easy,0.5319
69147,50,wikipedia.org,17777,MX,suspicious,medium,0.511
100821,26,dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,102,A,suspicious,medium,0.9092
10584,23,wikipedia.org,3,A,normal,easy,0.511
100013,15,dkry5cjqx4bipw3.data-exfil.com,0,A,tunneling,easy,0.7557
113750,35,dkry5cjqx4bipw3ahov29gnu18fmt07elsz.data-exfil.com,1,A,tunneling,easy,0.9921
125726,6,dkry5cjqx4.data-exfil.com,8,A,tunneling,easy,0.6425
148350,55,netflix.com,21,A,normal,easy,0.543
87711,40,amazon.in,0,A,normal,easy,0.4355
53986,36,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6.data-exfil.com,5,A,tunneling,easy,1.0
169077,53,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ah.data-exfil.com,6,A,tunneling,easy,0.9838
137419,7,wikipedia.org,21978,A,suspicious,medium,0.511
121578,42,microsoft.com,0,A,normal,easy,0.5702
13384,17,amazon.in,0,A,normal,easy,0.4355
33333,8,wikipedia.org,666666,A,suspicious,medium,0.511
